clade_name	A10	A11	A13	A14	A16	A17	A18	A19	A1	A24	A25	A26	A27	A28	A2	A30	A34	A35	A38	A39	A3	A40	A4	A5	A6	A7	A8	A9
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae	26	18	59	19	15	16	22	12	134	303	57	260	43	6	117	117	120	14	29	28	17	237	59	75	166	6	10	29
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Persephonella	12	10	21	3	2	4	5	3	21	81	20	61	20	3	39	50	30	5	8	5	4	79	19	22	55	2	1	15
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Persephonella|s__Persephonella_marina	12	10	21	3	2	4	5	3	21	81	20	61	20	3	39	50	30	5	8	5	4	79	19	22	55	2	1	15
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Sulfurihydrogenibium	14	8	38	16	13	12	17	9	113	222	37	199	23	3	78	67	90	9	21	23	13	158	40	53	111	4	9	14
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Sulfurihydrogenibium|s__Sulfurihydrogenibium_sp._YO3AOP1	4	2	27	7	6	9	7	4	62	110	29	130	7	3	30	20	48	7	9	10	5	89	19	42	75	1	6	10
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Sulfurihydrogenibium|s__Sulfurihydrogenibium_azorense	10	6	11	9	7	3	10	5	51	111	8	68	16	0	48	47	42	2	12	13	8	68	21	11	36	3	3	4
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae	31	24	51	24	24	6	10	7	188	711	43	275	45	17	107	147	92	20	32	65	55	225	58	54	168	3	30	19
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobacter	1	3	13	1	4	3	1	2	18	47	1	19	3	6	22	26	12	1	0	10	3	39	8	3	6	0	1	1
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobacter|s__Hydrogenobacter_thermophilus	1	3	13	1	4	3	1	2	18	47	1	19	3	6	22	26	12	1	0	10	3	39	8	3	6	0	1	1
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobaculum	7	0	14	15	10	0	6	0	91	127	22	114	16	0	43	21	58	15	9	40	18	34	21	32	72	0	14	11
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobaculum|s__Hydrogenobaculum_sp._HO	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobaculum|s__Hydrogenobaculum_sp._Y04AAS1	7	0	14	15	10	0	6	0	91	127	22	114	3	0	43	21	58	15	9	40	18	34	21	32	72	0	14	11
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Aquifex	7	9	2	3	1	2	1	1	13	16	5	36	7	5	10	9	5	1	2	2	4	22	1	5	30	3	3	1
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Aquifex|s__Aquifex_aeolicus	7	9	2	3	1	2	1	1	13	16	5	36	7	5	10	9	5	1	2	2	4	22	1	5	30	3	3	1
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis	15	11	21	5	9	1	1	4	65	519	15	105	18	6	31	90	17	3	20	13	29	130	27	14	59	0	12	6
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis|s__Thermocrinis_ruber	3	5	1	0	3	0	0	2	20	41	6	27	2	0	7	59	10	0	1	2	3	18	0	5	4	0	0	3
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis|s__Thermocrinis_albus	3	1	2	0	4	0	0	1	13	442	5	26	1	0	9	17	4	1	18	2	6	20	14	0	9	0	0	1
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis|s__Thermocrinis_minervae	9	5	18	5	2	1	1	1	31	35	4	51	15	6	14	14	3	2	1	9	20	92	12	9	45	0	12	2
d__Bacteria|p__Nitrospirae	134	50	205	30	53	49	104	29	385	2059	75	781	235	52	380	754	187	45	272	70	68	1146	147	72	331	42	66	68
d__Bacteria|p__Nitrospirae|c__Nitrospira	134	50	205	30	53	49	104	29	385	2059	75	781	235	52	380	754	187	45	272	70	68	1146	147	72	331	42	66	68
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	134	50	205	30	53	49	104	29	385	2059	75	781	235	52	380	754	187	45	272	70	68	1146	147	72	331	42	66	68
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae	134	50	205	30	53	49	104	29	385	2059	75	781	235	52	380	754	187	45	272	70	68	1146	147	72	331	42	66	68
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Thermodesulfovibrio	11	22	28	9	10	5	9	17	137	575	22	302	24	22	81	63	70	11	16	32	13	120	61	29	111	5	28	22
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Thermodesulfovibrio|s__Thermodesulfovibrio_yellowstonii	11	22	28	9	10	5	9	17	137	575	22	302	24	22	81	63	70	11	16	32	13	120	61	29	111	5	28	22
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum	17	9	84	12	13	31	19	4	86	601	29	190	122	8	144	120	47	17	26	26	24	542	28	26	111	17	11	8
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum_sp._Group_II_'CF-1'	1	0	29	3	6	3	0	0	0	90	0	0	0	0	4	20	0	7	0	0	11	6	1	10	0	0	0	0
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum_ferrooxidans	6	9	16	3	6	23	13	4	26	58	21	84	24	8	55	34	40	8	19	15	10	122	5	15	45	8	6	4
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum_ferriphilum	9	0	38	5	0	4	5	0	59	453	7	105	97	0	84	65	6	1	6	10	2	412	21	0	65	8	4	3
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira	106	19	93	9	30	13	76	8	162	882	24	288	89	22	155	571	70	17	230	12	31	484	58	17	109	20	27	38
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira_defluvii	4	3	6	6	19	3	67	0	69	440	9	40	13	4	57	70	10	7	197	2	19	86	17	3	9	3	1	22
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira_moscoviensis	7	6	9	1	5	5	2	3	35	88	4	68	11	2	18	82	11	1	6	2	5	22	13	5	19	2	2	8
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira_japonica	39	6	18	2	4	1	2	3	24	212	7	105	22	2	20	250	36	0	15	5	2	93	16	3	29	7	2	2
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Candidatus_Nitrospira_inopinata	55	4	59	0	2	4	5	2	33	140	4	74	42	14	60	167	12	9	12	3	5	282	11	6	51	8	21	6
d__Bacteria|p__Deferribacteres	175	59	338	57	53	63	27	33	396	841	75	646	160	73	342	549	195	23	51	72	69	906	122	64	340	19	79	40
d__Bacteria|p__Deferribacteres|c__Deferribacteres	175	59	338	57	53	63	27	33	396	841	75	646	160	73	342	549	195	23	51	72	69	906	122	64	340	19	79	40
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales	175	59	338	57	53	63	27	33	396	841	75	646	160	73	342	549	195	23	51	72	69	906	122	64	340	19	79	40
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae	175	59	338	57	53	63	27	33	396	841	75	646	160	73	342	549	195	23	51	72	69	906	122	64	340	19	79	40
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Calditerrivibrio	11	10	53	7	16	16	5	5	74	116	9	119	21	21	60	35	32	3	14	17	22	54	18	17	71	6	28	8
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Calditerrivibrio|s__Calditerrivibrio_nitroreducens	11	10	53	7	16	16	5	5	74	116	9	119	21	21	60	35	32	3	14	17	22	54	18	17	71	6	28	8
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Flexistipes	14	5	73	15	5	10	5	9	94	335	15	131	32	6	66	111	14	4	6	19	10	114	44	7	55	2	9	5
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Flexistipes|s__Flexistipes_sinusarabici	14	5	73	15	5	10	5	9	94	335	15	131	32	6	66	111	14	4	6	19	10	114	44	7	55	2	9	5
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Geovibrio	32	13	69	8	13	15	3	7	62	97	4	153	40	10	74	135	10	3	8	9	15	306	20	15	57	6	13	10
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Geovibrio|s__Geovibrio_thiophilus	32	13	69	8	13	15	3	7	62	97	4	153	40	10	74	135	10	3	8	9	15	306	20	15	57	6	13	10
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Denitrovibrio	52	11	33	18	5	20	4	9	52	114	18	134	30	13	90	130	100	4	6	19	8	67	17	14	110	3	13	4
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Denitrovibrio|s__Denitrovibrio_acetiphilus	52	11	33	18	5	20	4	9	52	114	18	134	30	13	90	130	100	4	6	19	8	67	17	14	110	3	13	4
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Deferribacter	65	19	109	9	13	2	10	3	113	178	27	107	37	23	52	137	39	9	17	8	14	364	23	11	47	2	16	13
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Deferribacter|s__Deferribacter_desulfuricans	65	19	109	9	13	2	10	3	113	178	27	107	37	23	52	137	39	9	17	8	14	364	23	11	47	2	16	13
d__Bacteria|s__bacterium_2013Arg42i	1	8	2	3	1	0	7	1	18	79	6	38	5	1	9	20	10	2	6	2	5	6	12	7	16	0	0	2
d__Bacteria|g__Vampirococcus	8	6	61	9	4	8	7	4	44	426	1	139	31	36	48	102	42	10	12	13	6	130	38	7	65	5	49	10
d__Bacteria|g__Vampirococcus|s__Vampirococcus_sp._LiM	8	6	61	9	4	8	7	4	44	426	1	139	31	36	48	102	42	10	12	13	6	130	38	7	65	5	49	10
d__Bacteria|s__Candidatus_Dependentiae_bacterium_(ex_Spumella_elongata_CCAP_955/1)	5	5	11	2	0	6	1	2	18	29	5	54	18	7	7	1	12	4	2	6	4	25	7	4	20	2	12	7
d__Bacteria|c__Candidatus_Babeliae	6	1	18	2	3	4	5	4	35	37	3	68	8	12	24	20	46	1	5	6	2	21	8	7	41	2	13	3
d__Bacteria|c__Candidatus_Babeliae|o__Candidatus_Babeliales	6	1	18	2	3	4	5	4	35	37	3	68	8	12	24	20	46	1	5	6	2	21	8	7	41	2	13	3
d__Bacteria|c__Candidatus_Babeliae|o__Candidatus_Babeliales|f__Candidatus_Babeliaceae	6	1	18	2	3	4	5	4	35	37	3	68	8	12	24	20	46	1	5	6	2	21	8	7	41	2	13	3
