clade_name	A10	A11	A13	A14	A16	A17	A18	A19	A1	A2	A3	A4	A5	A6	A7	A8	A9	DRR214959	DRR214960	DRR214961	DRR214962	DRR241310	SRR5892208	SRR5892209	SRR5892210	SRR5892211	SRR5892212	SRR5892213	SRR5892214	SRR5892215	SRR5892216	SRR5892217	SRS013942	SRS014468	SRS014692	SRS015055	SRS019120
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfobacterium|s__Thermodesulfobacterium_commune	6	1	8	6	5	7	5	11	53	27	6	14	23	58	2	9	6	188	244	54	33	3	2	11	9	13	0	5	4	4	7	4	1	0	4	5	1
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfobacterium|s__Thermodesulfobacterium_sp._TA1	17	8	28	2	3	4	1	0	52	56	8	13	11	184	0	2	7	275	164	97	35	16	1	7	7	2	0	0	9	5	6	4	1	0	5	6	1
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfobacterium|s__Thermodesulfobacterium_geofontis	23	14	82	7	10	9	2	3	58	46	9	21	16	43	3	9	9	273	54	408	141	17	9	14	31	11	2	26	23	23	37	6	11	3	14	18	1
d__Bacteria|p__Calditrichaeota	81	14	36	7	9	2	4	9	60	71	12	30	13	31	29	2	13	320	180	285	186	73	5	25	63	10	0	0	40	17	15	5	2	9	31	27	14
d__Bacteria|p__Calditrichaeota|c__Calditrichae	81	14	36	7	9	2	4	9	60	71	12	30	13	31	29	2	13	320	180	285	186	73	5	25	63	10	0	0	40	17	15	5	2	9	31	27	14
d__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales	81	14	36	7	9	2	4	9	60	71	12	30	13	31	29	2	13	320	180	285	186	73	5	25	63	10	0	0	40	17	15	5	2	9	31	27	14
d__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae	81	14	36	7	9	2	4	9	60	71	12	30	13	31	29	2	13	320	180	285	186	73	5	25	63	10	0	0	40	17	15	5	2	9	31	27	14
d__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae|g__Caldithrix	81	14	36	7	9	2	4	9	60	71	12	30	13	31	29	2	13	320	180	285	186	73	5	25	63	10	0	0	40	17	15	5	2	9	31	27	14
d__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae|g__Caldithrix|s__Caldithrix_abyssi	81	14	36	7	9	2	4	9	60	71	12	30	13	31	29	2	13	320	180	285	186	73	5	25	63	10	0	0	40	17	15	5	2	9	31	27	14
d__Bacteria|p__Aquificae	99	57	221	57	53	35	48	31	432	355	85	179	165	432	24	63	67	2097	688	2485	668	164	47	82	168	88	6	65	138	169	185	31	22	20	71	68	44
d__Bacteria|p__Aquificae|c__Aquificae	99	57	221	57	53	35	48	31	432	355	85	179	165	432	24	63	67	2097	688	2485	668	164	47	82	168	88	6	65	138	169	185	31	22	20	71	68	44
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales	34	11	95	10	12	11	11	10	75	115	8	50	21	76	15	20	15	479	105	991	199	17	11	28	52	19	2	21	31	28	53	14	2	6	14	16	5
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae	34	11	95	10	12	11	11	10	75	115	8	50	21	76	15	20	15	479	105	991	199	17	11	28	52	19	2	21	31	28	53	14	2	6	14	16	5
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae|g__Thermovibrio	12	4	77	1	0	3	2	6	29	72	5	22	8	34	12	4	3	99	22	353	149	13	2	2	8	1	0	12	3	6	2	0	1	1	6	2	0
