clade_name	A10	A11	A13	A14	A16	A17	A18	A19	A1	A2	A3	A4	A5	A6	A7	A8	A9	DRR214959	DRR214960	DRR214961	DRR214962	DRR241310	SRR5892208	SRR5892209	SRR5892210	SRR5892211	SRR5892212	SRR5892213	SRR5892214	SRR5892215	SRR5892216	SRR5892217	SRS013942	SRS014468	SRS014692	SRS015055	SRS019120
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia|s__Paraburkholderia_caledonica	14	0	26	4	3	0	3	2	9	36	5	3	4	37	4	1	6	99	14	192	39	0	4	3	16	3	0	4	3	15	6	2	1	0	0	6	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia|s__Paraburkholderia_megapolitana	15	6	9	4	1	5	2	0	32	16	6	12	1	41	7	4	13	259	85	148	51	27	0	8	12	2	1	13	8	35	13	4	0	1	1	5	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia|s__Paraburkholderia_phymatum	35	2	40	1	8	3	1	0	33	59	7	11	13	26	7	3	12	147	24	490	54	35	7	12	17	9	0	18	9	24	14	5	4	0	4	3	5
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia|s__Paraburkholderia_sp._DCR13	2	6	2	7	2	0	2	0	7	4	3	2	0	2	8	1	9	65	103	215	520	24	0	12	53	14	0	13	11	18	18	4	0	0	5	2	1
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia|s__Paraburkholderia_sp._CCGE1002	9	6	37	2	9	2	3	3	17	11	5	14	13	14	2	15	15	74	73	132	59	11	1	4	10	1	2	10	5	17	15	6	1	0	0	5	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia|s__Paraburkholderia_sp._SOS3	13	11	20	7	5	2	0	1	17	18	11	4	13	16	15	1	13	248	47	308	466	52	3	4	6	6	2	6	8	8	5	6	0	0	3	7	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia|s__Paraburkholderia_sp._7MH5	25	11	38	2	14	2	5	0	21	45	2	7	1	35	21	5	16	143	127	320	283	80	3	8	25	9	0	11	17	11	28	7	5	1	0	13	4
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus	275	183	442	153	224	42	88	29	480	573	124	150	118	385	290	139	557	6548	2060	7542	4926	2317	76	231	453	176	35	157	167	299	420	111	44	28	42	218	68
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_nantongensis	0	2	2	9	14	10	4	0	53	23	5	3	11	9	16	0	14	72	48	202	19	27	2	10	16	3	0	6	2	2	16	7	8	3	2	9	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_sp._USMAA1020	0	3	0	0	0	0	0	0	0	35	0	0	0	0	8	12	26	16	15	807	122	11	0	0	0	0	0	10	0	3	19	0	0	0	5	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_sp._USMAHM13	0	3	23	0	0	0	0	0	5	0	0	0	2	0	8	0	5	74	8	7	31	11	0	0	0	10	2	0	2	0	0	0	2	0	0	4	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_metallidurans	17	20	29	11	11	1	4	1	17	32	10	3	11	44	29	7	41	913	73	906	1101	412	11	96	58	16	2	15	20	26	29	33	1	0	7	9	13
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_oxalaticus	12	33	12	22	30	0	12	1	82	59	13	16	6	29	31	5	63	2053	563	1661	904	439	5	12	28	28	2	4	15	38	42	7	7	1	2	16	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_campinensis	14	5	28	6	12	4	5	0	13	34	5	1	8	21	14	12	21	287	86	705	125	59	2	4	7	4	0	2	2	19	23	0	2	2	0	6	2
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_basilensis	17	6	35	8	5	1	2	1	35	24	4	2	2	22	11	11	23	126	80	136	585	210	5	12	55	5	1	8	14	11	40	7	0	2	0	13	1
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_necator	29	11	56	14	12	6	12	7	47	85	12	15	16	40	24	25	57	283	141	626	249	134	4	13	29	10	4	25	7	18	37	9	4	1	2	18	3
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_pauculus	27	26	53	12	27	6	12	2	49	52	22	16	8	43	28	7	46	349	344	878	590	179	5	6	29	16	1	17	22	46	44	6	5	6	0	15	14
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_pinatubonensis	31	4	91	4	8	0	4	4	32	44	17	36	10	16	29	5	34	740	48	246	52	8	3	3	16	4	1	1	2	23	12	5	0	1	1	10	7
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_gilardii	41	30	16	8	31	1	6	0	18	73	4	6	4	37	17	9	44	132	60	241	110	78	5	18	25	15	10	12	16	9	36	13	1	1	2	6	1
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_taiwanensis	45	35	77	45	60	10	24	10	111	92	28	47	35	75	55	14	172	1279	517	1049	1008	654	30	53	157	59	6	43	47	88	101	18	10	6	18	99	24
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_sp._USMAA2-4	36	0	14	10	9	0	0	0	14	14	0	0	0	45	15	27	4	218	71	71	24	87	0	0	28	0	3	9	12	10	16	0	0	2	0	8	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia	504	335	1073	222	424	209	162	97	1328	1564	427	345	546	1465	497	319	841	143757	11431	31497	13057	5243	201	419	829	425	65	490	442	760	1094	292	79	52	107	359	124
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_dolosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130360	5302	12992	4475	1704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp._KBS0801	0	0	0	0	0	5	3	0	1	1	1	3	0	0	0	0	0	2	0	3	0	15	0	0	11	0	0	4	0	0	3	6	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp._MSMB0266	0	0	0	0	0	2	1	0	0	0	1	1	0	0	0	0	2	21	2	22	7	3	0	0	0	0	0	0	2	6	0	0	0	1	9	0	1
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_mallei	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	2	0	1	7	7	3	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp._MSMB0852	0	0	0	0	1	0	0	0	0	0	1	0	0	1	6	0	0	2	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp._MSMB1588	0	0	1	0	13	0	0	0	0	6	0	0	0	0	0	0	11	18	0	3	14	0	0	0	0	0	0	0	14	0	10	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_anthina	0	0	1	0	4	0	0	1	8	0	1	0	1	8	7	1	3	26	55	91	17	46	2	2	1	5	0	1	1	6	11	5	0	0	0	1	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_pseudomultivorans	0	0	3	0	0	0	0	1	3	9	0	0	1	0	0	0	1	1	1	9	2	3	0	1	0	1	0	0	15	0	0	0	0	0	0	0	1
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp._IDO3	0	1	2	0	4	1	0	0	1	4	1	0	2	15	8	0	4	39	6	69	31	22	3	3	1	8	0	2	2	9	11	2	0	0	0	3	1
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp._KJ006	0	3	0	0	0	0	0	5	0	0	0	0	0	6	0	0	0	0	11	12	21	0	0	0	0	4	5	0	0	0	42	23	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp._BDU6	0	1	11	4	3	0	1	0	7	8	8	1	3	1	3	1	3	34	8	76	61	12	0	7	2	9	0	2	3	3	4	2	0	0	0	0	1
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp._MSMB617WGS	0	2	0	0	0	2	4	0	2	0	0	0	3	1	17	0	1	0	0	3	3	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp._LA-2-3-30-S1-D2	0	1	6	2	4	0	0	0	5	3	1	4	1	13	0	2	0	15	3	225	7	55	0	12	7	0	0	3	1	5	2	0	0	0	0	1	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_latens	0	2	4	0	3	0	1	0	6	2	2	0	0	0	0	0	0	4	4	9	0	1	0	0	2	4	0	0	0	0	0	0	0	0	2	7	2
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_pyrrocinia	0	4	8	4	5	0	1	1	9	1	3	4	7	6	5	0	6	38	68	142	106	129	5	15	4	0	0	17	6	12	12	2	1	0	0	3	2
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_diffusa	0	4	0	0	4	0	1	1	7	10	1	2	1	0	2	1	3	18	11	96	58	20	1	0	0	11	0	7	3	2	12	8	0	0	0	1	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_glumae	5	8	6	3	10	1	2	0	5	19	10	1	1	52	5	1	18	135	139	234	43	153	6	4	35	8	1	17	3	7	13	9	4	0	0	2	4
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_gladioli	14	24	15	9	17	1	4	5	38	36	16	6	10	10	29	4	81	393	409	853	567	161	9	15	43	27	4	61	15	35	45	21	1	3	4	9	3
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_plantarii	18	3	10	3	14	4	4	1	13	37	12	4	4	15	11	5	13	60	38	466	47	47	4	1	22	7	1	5	4	8	23	3	0	0	0	2	2
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_insecticola	24	4	30	5	9	0	6	2	19	23	3	10	2	53	14	2	15	252	98	768	243	66	5	3	13	5	0	10	13	10	15	7	3	0	0	8	6
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_oklahomensis	5	3	24	1	3	2	0	0	11	32	5	3	5	10	3	11	1	9	19	25	20	5	0	10	5	0	2	3	1	3	12	3	0	0	1	1	1
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_thailandensis	10	4	4	2	23	4	4	4	3	5	4	2	0	8	10	2	8	156	65	321	245	149	1	6	20	63	0	4	3	3	12	4	0	19	0	77	39
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp._BDU8	14	3	11	2	0	0	0	0	2	15	8	2	1	1	8	1	3	158	91	1462	211	40	2	9	13	2	2	25	11	48	55	10	2	0	1	5	2
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_pseudomallei	28	94	202	36	50	95	17	0	540	506	159	23	348	420	22	171	196	4161	809	2261	1120	250	28	29	68	36	4	37	19	65	102	39	0	3	9	41	2
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp._PAMC_26561	2	5	10	7	11	16	3	4	40	13	10	6	6	7	3	0	6	129	103	348	134	109	5	28	17	3	0	15	8	11	39	18	4	4	19	4	6
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp._AD24	2	6	19	6	4	2	2	0	10	4	4	1	4	4	10	1	15	226	78	95	56	68	1	5	15	2	0	2	5	6	16	0	0	0	1	2	2
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp._CCGE1001	10	4	35	16	23	3	3	0	12	30	5	0	1	78	14	0	36	1023	157	426	72	99	0	17	18	3	3	12	0	39	30	8	0	0	0	16	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp._JP2-270	4	1	20	0	4	0	5	0	2	6	0	1	1	5	4	0	2	47	26	168	32	4	0	5	4	4	0	4	1	14	4	0	0	1	1	3	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp._YI23	5	6	48	0	2	0	2	0	12	67	1	0	2	30	4	17	8	56	26	126	53	0	4	2	12	2	1	0	13	9	6	0	0	2	3	2	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp._KK1	5	6	2	0	8	0	0	0	18	6	3	1	1	8	5	1	5	1016	159	52	52	256	2	16	15	3	1	9	10	4	23	2	1	0	0	1	1
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp._OLGA172	4	11	6	3	7	0	5	4	28	22	6	10	2	29	3	0	2	36	29	356	98	10	2	1	12	6	1	8	3	5	3	0	4	0	3	8	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp._PAMC_28687	7	3	17	2	4	4	2	0	41	28	4	44	5	18	3	4	29	264	264	332	109	91	0	0	7	4	0	16	11	37	10	0	3	0	0	7	5
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp._DHOD12	8	8	5	4	5	1	1	1	16	10	4	27	3	17	14	2	24	349	157	199	572	21	3	8	29	7	1	8	23	28	26	2	11	1	2	10	6
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp._RPE67	13	0	42	2	5	0	0	0	9	8	3	0	2	43	12	3	22	76	54	1188	280	25	0	12	0	10	4	11	0	3	37	2	1	0	0	11	1
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp._HB1	51	4	85	5	11	3	15	0	12	37	5	7	0	85	7	15	26	402	23	67	11	37	5	3	4	7	0	0	5	17	15	0	0	0	0	5	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp._CCGE1003	20	5	21	3	4	4	1	2	25	18	9	1	10	88	5	2	8	54	33	92	161	9	4	9	16	5	1	9	8	3	8	4	3	0	11	1	1
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp._Bp7605	21	9	25	9	6	3	4	3	22	29	8	4	17	23	7	7	11	93	18	51	42	68	6	0	3	12	1	10	1	8	4	4	1	2	0	1	2
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__[Pseudomonas]_mesoacidophila	1	0	5	1	1	0	0	2	7	2	3	2	0	1	9	1	2	62	19	85	27	26	3	10	3	0	0	4	3	10	20	3	0	1	2	5	1
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_seminalis	1	1	1	0	2	0	0	0	2	9	7	1	0	5	5	0	2	47	412	586	55	41	1	9	15	20	0	0	2	0	8	1	1	0	0	2	1
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_stagnalis	1	1	6	0	5	0	0	0	2	7	0	1	0	0	5	0	5	23	23	366	150	22	0	3	7	5	0	1	2	7	7	1	1	0	0	0	1
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_ambifaria	1	1	1	0	1	0	0	0	2	6	4	1	2	5	1	0	0	220	63	340	60	9	4	3	5	3	0	0	0	7	6	0	0	0	0	3	1
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp._NRF60-BP8	1	2	1	0	0	0	0	1	1	6	0	1	0	0	6	1	5	215	48	100	270	35	4	2	5	1	0	3	1	1	2	2	0	0	2	2	1
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_lata	2	1	11	2	8	12	1	1	20	18	1	11	10	20	9	2	10	74	35	64	47	13	4	1	7	0	2	1	1	10	7	8	0	0	1	3	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp._MSMB0856	2	0	2	0	5	0	1	1	3	6	2	0	1	3	2	1	17	48	198	928	97	20	8	17	57	15	3	34	17	11	39	1	0	0	1	5	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_ubonensis	4	13	15	20	10	4	4	0	41	54	5	6	5	40	8	1	16	357	228	391	875	127	7	11	11	21	4	6	17	29	54	10	1	0	2	9	2
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_territorii	5	2	2	1	6	0	1	4	6	23	3	7	1	5	7	1	6	559	262	219	158	89	0	2	5	0	0	6	11	25	24	1	0	0	0	4	2
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_metallica	5	2	4	1	3	0	1	0	10	22	2	0	3	12	2	2	4	241	60	190	260	62	0	3	19	2	1	3	2	11	19	2	1	1	0	4	2
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_contaminans	8	10	38	7	8	4	3	2	32	24	8	4	4	15	10	1	21	674	334	520	253	83	2	13	25	15	3	12	31	58	26	19	7	0	7	9	1
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_stabilis	17	5	16	3	7	1	0	2	34	13	11	4	2	22	13	7	4	350	219	859	181	148	4	10	6	13	1	13	15	27	26	0	1	3	1	11	2
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_vietnamiensis	48	8	66	10	10	5	12	23	34	62	12	69	7	38	52	2	29	215	41	98	35	27	22	6	84	4	0	13	43	12	30	1	8	0	6	0	3
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_multivorans	17	10	22	11	12	2	8	2	71	16	14	13	8	23	21	2	16	247	313	1392	442	118	6	4	23	9	4	6	16	28	28	5	2	0	4	5	1
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_cenocepacia	60	27	158	24	35	10	23	15	82	205	35	37	40	159	50	18	81	525	704	1055	997	446	14	41	73	19	4	41	32	61	119	29	1	1	1	31	1
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_cepacia	41	8	35	0	26	9	4	1	33	78	8	3	10	45	33	13	35	201	185	628	141	274	11	42	64	16	4	27	27	37	54	11	4	5	5	18	7
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Lautropia	1496	17933	23464	4051	23481	7541	8089	314	2879	4312	12005	5751	9681	131	15	6	51201	196114	46691	146529	78758	64809	1707	1514	2009	3094	163	210	1191	5175	1419	233	7317	2636	411	7392	15889
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Lautropia|s__Lautropia_mirabilis	1496	17933	23464	4051	23481	7541	8089	314	2879	4312	12005	5751	9681	131	15	6	51201	196114	46691	146529	78758	64809	1707	1514	2009	3094	163	210	1191	5175	1419	233	7317	2636	411	7392	15889
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	60569	192725	410876	184267	469951	27149	484118	9184	623424	387012	67405	348571	105194	59647	223622	603	1282304	2754119	2942481	678297	3787802	488106	19746	12984	42720	305476	3136	127789	282339	433459	100048	7169	243121	48049	1766	104672	323076
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae	216	202	433	121	392	51	172	35	668	565	126	331	135	395	232	54	648	3110	1809	7280	2277	1828	67	119	300	117	15	149	143	304	333	59	80	29	34	130	84
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Pseudogulbenkiania	5	17	33	12	15	2	14	1	40	41	6	7	26	10	11	1	32	231	198	738	212	91	4	9	14	7	1	11	7	39	20	3	1	2	0	3	5
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Pseudogulbenkiania|s__Pseudogulbenkiania_sp._NH8B	5	17	33	12	15	2	14	1	40	41	6	7	26	10	11	1	32	231	198	738	212	91	4	9	14	7	1	11	7	39	20	3	1	2	0	3	5
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Aquaspirillum	7	13	66	7	37	2	17	1	41	51	13	45	4	6	21	2	64	224	85	44	165	16	4	3	54	6	0	3	10	10	13	1	3	2	1	8	6
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Aquaspirillum|s__Aquaspirillum_sp._LM1	7	13	66	7	37	2	17	1	41	51	13	45	4	6	21	2	64	224	85	44	165	16	4	3	54	6	0	3	10	10	13	1	3	2	1	8	6
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Laribacter	7	23	16	6	79	2	13	2	99	33	4	22	15	47	11	0	37	114	21	65	131	41	4	4	4	12	1	6	4	19	8	2	4	2	2	13	5
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Laribacter|s__Laribacter_hongkongensis	7	23	16	6	79	2	13	2	99	33	4	22	15	47	11	0	37	114	21	65	131	41	4	4	4	12	1	6	4	19	8	2	4	2	2	13	5
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Microvirgula	12	7	23	7	21	3	7	2	22	20	8	11	7	31	7	16	27	135	113	161	169	77	1	10	3	7	0	11	6	25	10	4	4	1	2	3	5
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Microvirgula|s__Microvirgula_aerodenitrificans	12	7	23	7	21	3	7	2	22	20	8	11	7	31	7	16	27	135	113	161	169	77	1	10	3	7	0	11	6	25	10	4	4	1	2	3	5
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Jeongeupia	16	10	32	2	17	2	7	7	30	28	8	21	2	22	9	0	21	135	58	170	91	24	16	2	65	5	0	1	15	1	27	8	5	3	3	14	4
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Jeongeupia|s__Jeongeupia_sp._USM3	16	10	32	2	17	2	7	7	30	28	8	21	2	22	9	0	21	135	58	170	91	24	16	2	65	5	0	1	15	1	27	8	5	3	3	14	4
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Aquitalea	25	35	92	27	85	11	36	6	115	126	31	51	34	50	31	10	123	510	304	1789	482	343	5	10	14	15	0	52	24	67	33	5	21	3	3	28	22
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Aquitalea|s__Aquitalea_magnusonii	12	17	71	8	37	3	17	1	58	72	7	30	16	37	14	5	53	143	108	649	168	253	1	9	4	10	0	12	21	53	16	4	10	3	0	9	12
